State,Number of CoCs,"Overall Homeless, 2008","Sheltered ES Homeless, 2008","Sheltered TH Homeless, 2008","Sheltered Total Homeless, 2008","Unsheltered Homeless, 2008","Overall Homeless Individuals, 2008","Sheltered ES Homeless Individuals, 2008","Sheltered TH Homeless Individuals, 2008","Sheltered Total Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Overall Homeless People in Families, 2008","Sheltered ES Homeless People in Families, 2008","Sheltered TH Homeless People in Families, 2008","Sheltered Total Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Overall Homeless Family Households, 2008","Sheltered ES Homeless Family Households, 2008","Sheltered TH Homeless Family Households, 2008","Sheltered Total Homeless Family Households, 2008","Unsheltered Homeless Family Households, 2008","Overall Chronically Homeless Individuals, 2008","Sheltered Total Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008","Overall Homeless Veterans, 2008","Sheltered Total Homeless Veterans, 2008","Unsheltered Homeless Veterans, 2008"
FL,28,"50,158","9,769","10,955","20,724","29,434","32,959","5,833","6,498","12,331","20,628","17,199","3,936","4,457","8,393","8,806","6,296","1,369","1,422","2,791","3,505","8,578","2,555","6,023","5,780","2,691","3,089"
GA,7,"19,095","4,420","4,445","8,865","10,230","13,728","3,127","2,589","5,716","8,012","5,367","1,293","1,856","3,149","2,218","1,722",432,616,"1,048",674,"2,671","1,037","1,634","3,336","1,921","1,415"
GU,1,725,33,70,103,622,254,14,39,53,201,471,19,31,50,421,120,5,9,14,106,50,39,11,3,3,0
HI,2,"6,061","1,114","1,589","2,703","3,358","3,326",495,596,"1,091","2,235","2,735",619,993,"1,612","1,123",734,187,257,444,290,778,132,646,223,223,0
IA,3,"3,346","1,018","2,069","3,087",259,"1,609",671,750,"1,421",188,"1,737",347,"1,319","1,666",71,558,109,424,533,25,277,225,52,284,271,13
ID,2,"1,464",630,620,"1,250",214,817,477,180,657,160,647,153,440,593,54,228,55,151,206,22,46,11,35,131,78,53
IL,21,"14,724","5,660","5,820","11,480","3,244","8,356","3,906","1,791","5,697","2,659","6,368","1,754","4,029","5,783",585,"2,074",552,"1,357","1,909",165,"2,557","1,436","1,121","1,286",839,447
IN,3,"7,395","3,127","2,796","5,923","1,472","4,937","2,226","1,391","3,617","1,320","2,458",901,"1,405","2,306",152,815,304,470,774,41,696,249,447,535,455,80
KS,5,"1,738",922,578,"1,500",238,"1,080",561,336,897,183,658,361,242,603,55,208,119,76,195,13,177,132,45,313,295,18
KY,3,"8,137","2,725","3,470","6,195","1,942","4,344","2,026","1,221","3,247","1,097","3,793",699,"2,249","2,948",845,"1,163",205,770,975,188,642,380,262,"1,046",944,102
LA,9,"5,481","1,408","2,292","3,700","1,781","2,894",747,"1,158","1,905",989,"2,587",661,"1,134","1,795",792,851,223,380,603,248,613,177,436,432,305,127
MA,21,"14,506","8,471","4,966","13,437","1,069","7,127","3,319","2,904","6,223",904,"7,379","5,152","2,062","7,214",165,"2,644","1,798",799,"2,597",47,"2,352","1,830",522,"1,302","1,262",40
