State,Number of CoCs,"Overall Homeless, 2014","Overall Homeless - Under 18, 2014","Overall Homeless - Age 18 to 24, 2014","Overall Homeless - Over 24, 2014","Sheltered ES Homeless, 2014","Sheltered ES Homeless - Under 18, 2014","Sheltered ES Homeless - Age 18 to 24, 2014","Sheltered ES Homeless - Over 24, 2014","Sheltered TH Homeless, 2014","Sheltered TH Homeless - Under 18, 2014","Sheltered TH Homeless - Age 18 to 24, 2014","Sheltered TH Homeless - Over 24, 2014","Sheltered SH Homeless, 2014","Sheltered SH Homeless - Age 18 to 24, 2014","Sheltered SH Homeless - Over 24, 2014","Sheltered Total Homeless, 2014","Sheltered Total Homeless - Under 18, 2014","Sheltered Total Homeless - Age 18 to 24, 2014","Sheltered Total Homeless - Over 24, 2014","Unsheltered Homeless, 2014","Unsheltered Homeless - Under 18, 2014","Unsheltered Homeless - Age 18 to 24, 2014","Unsheltered Homeless - Over 24, 2014","Overall Homeless Individuals, 2014","Overall Homeless Individuals - Under 18, 2014","Overall Homeless Individuals - Age 18 to 24, 2014","Overall Homeless Individuals - Over 24, 2014","Sheltered ES Homeless Individuals, 2014","Sheltered ES Homeless Individuals - Under 18, 2014","Sheltered ES Homeless Individuals - Age 18 to 24, 2014","Sheltered ES Homeless Individuals - Over 24, 2014","Sheltered TH Homeless Individuals, 2014","Sheltered TH Homeless Individuals - Under 18, 2014","Sheltered TH Homeless Individuals - Age 18 to 24, 2014","Sheltered TH Homeless Individuals - Over 24, 2014","Sheltered SH Homeless Individuals, 2014","Sheltered SH Homeless Individuals - Age 18 to 24, 2014","Sheltered SH Homeless Individuals - Over 24, 2014","Sheltered Total Homeless Individuals, 2014","Sheltered Total Homeless Individuals - Under 18, 2014","Sheltered Total Homeless Individuals - Age 18 to 24, 2014","Sheltered Total Homeless Individuals - Over 24, 2014","Unsheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals - Under 18, 2014","Unsheltered Homeless Individuals - Age 18 to 24, 2014","Unsheltered Homeless Individuals - Over 24, 2014","Overall Homeless People in Families, 2014","Overall Homeless People in Families - Under 18, 2014","Overall Homeless People in Families - Age 18 to 24, 2014","Overall Homeless People in Families - Over 24, 2014","Sheltered ES Homeless People in Families, 2014","Sheltered ES Homeless People in Families - Under 18, 2014","Sheltered ES Homeless People in Families - Age 18 to 24, 2014","Sheltered ES Homeless People in Families - Over 24, 2014","Sheltered TH Homeless People in Families, 2014","Sheltered TH Homeless People in Families - Under 18, 2014","Sheltered TH Homeless People in Families - Age 18 to 24, 2014","Sheltered TH Homeless People in Families - Over 24, 2014","Sheltered Total Homeless People in Families, 2014","Sheltered Total Homeless People in Families - Under 18, 2014","Sheltered Total Homeless People in Families - Age 18 to 24, 2014","Sheltered Total Homeless People in Families - Over 24, 2014","Unsheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families - Under 18, 2014","Unsheltered Homeless People in Families - Age 18 to 24, 2014","Unsheltered Homeless People in Families - Over 24, 2014","Overall Homeless Family Households, 2014","Sheltered ES Homeless Family Households, 2014","Sheltered TH Homeless Family Households, 2014","Sheltered Total Homeless Family Households, 2014","Unsheltered Homeless Family Households, 2014","Overall Chronically Homeless, 2014","Sheltered ES Chronically Homeless, 2014","Sheltered SH Chronically Homeless, 2014","Sheltered Total Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Overall Chronically Homeless Individuals, 2014","Sheltered ES Chronically Homeless Individuals, 2014","Sheltered SH Chronically Homeless Individuals, 2014","Sheltered Total Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Overall Chronically Homeless People in Families, 2014","Sheltered ES Chronically Homeless People in Families, 2014","Sheltered Total Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Overall Homeless Veterans, 2014","Overall Homeless Veterans - Female, 2014","Sheltered Total Homeless Veterans, 2014","Sheltered Total Homeless Veterans - Female, 2014","Unsheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans - Female, 2014"
PA,18,"15,333","4,287","1,775","9,271","7,733","1,910",834,"4,989","6,294","2,318",812,"3,164",274,7,267,"14,301","4,228","1,653","8,420","1,032",59,122,851,"8,359",28,953,"7,378","4,721",21,521,"4,179","2,425",7,311,"2,107",274,7,267,"7,420",28,839,"6,553",939,0,114,825,"6,974","4,259",822,"1,893","3,012","1,889",313,810,"3,869","2,311",501,"1,057","6,881","4,200",814,"1,867",93,59,8,26,"2,384","1,018","1,339","2,357",27,"1,607",927,207,"1,134",473,"1,449",776,207,983,466,158,151,151,7,"1,411",109,"1,336",104,75,5
PR,2,"4,132",398,209,"3,525",406,41,34,331,936,202,82,652,64,0,64,"1,406",243,116,"1,047","2,726",155,93,"2,478","3,432",4,150,"3,278",335,0,22,313,620,0,48,572,64,0,64,"1,019",0,70,949,"2,413",4,80,"2,329",700,394,59,247,71,41,12,18,316,202,34,80,387,243,46,98,313,151,13,149,208,30,100,130,78,"2,063",146,48,194,"1,869","1,567",146,48,194,"1,373",496,0,0,496,87,2,45,1,42,1
RI,1,"1,190",251,99,840,803,132,71,600,345,118,24,203,22,0,22,"1,170",250,95,825,20,1,4,15,779,0,62,717,590,0,54,536,149,0,5,144,22,0,22,761,0,59,702,18,0,3,15,411,251,37,123,213,132,17,64,196,118,19,59,409,250,36,123,2,1,1,0,132,66,65,131,1,204,177,21,198,6,204,177,21,198,6,0,0,0,0,108,7,108,7,0,0
SC,4,"5,057",858,366,"3,833","1,782",303,131,"1,348","1,455",365,114,976,12,0,12,"3,249",668,245,"2,336","1,808",190,121,"1,497","3,813",6,293,"3,514","1,364",6,111,"1,247",876,0,69,807,12,0,12,"2,252",6,180,"2,066","1,561",0,113,"1,448","1,244",852,73,319,418,297,20,101,579,365,45,169,997,662,65,270,247,190,8,49,445,136,201,337,108,273,88,12,100,173,273,88,12,100,173,0,0,0,0,703,59,399,33,304,26
SD,1,885,247,79,559,528,130,38,360,302,109,39,154,0,0,0,830,239,77,514,55,8,2,45,490,7,52,431,321,0,31,290,129,7,19,103,0,0,0,450,7,50,393,40,0,2,38,395,240,27,128,207,130,7,70,173,102,20,51,380,232,27,121,15,8,0,7,121,65,52,117,4,118,92,0,92,26,81,68,0,68,13,37,24,24,13,132,4,128,4,4,0
TN,10,"9,415","1,390",738,"7,287","4,160",544,317,"3,299","2,206",508,142,"1,556",17,0,17,"6,383","1,052",459,"4,872","3,032",338,279,"2,415","6,800",10,571,"6,219","3,278",6,255,"3,017","1,398",0,94,"1,304",17,0,17,"4,693",6,349,"4,338","2,107",4,222,"1,881","2,615","1,380",167,"1,068",882,538,62,282,808,508,48,252,"1,690","1,046",110,534,925,334,57,534,804,271,227,498,306,"2,195","1,347",17,"1,364",831,"1,904","1,152",17,"1,169",735,291,195,195,96,"1,142",145,920,133,222,12
TX,12,"28,495","5,873","2,143","20,479","10,601","2,325",680,"7,596","7,494","2,810",608,"4,076",133,4,129,"18,228","5,135","1,292","11,801","10,267",738,851,"8,678","19,177",741,"1,598","16,838","6,583",199,454,"5,930","3,042",72,333,"2,637",133,4,129,"9,758",271,791,"8,696","9,419",470,807,"8,142","9,318","5,132",545,"3,641","4,018","2,126",226,"1,666","4,452","2,738",275,"1,439","8,470","4,864",501,"3,105",848,268,44,536,"2,784","1,193","1,356","2,549",235,"5,416","2,140",91,"2,231","3,185","4,952","1,801",91,"1,892","3,060",464,339,339,125,"2,718",501,"1,576",237,"1,142",264
UT,3,"3,081",880,207,"1,994","1,762",375,126,"1,261",959,404,54,501,47,1,46,"2,768",779,181,"1,808",313,101,26,186,"1,729",3,109,"1,617","1,145",1,78,"1,066",348,2,10,336,47,1,46,"1,540",3,89,"1,448",189,0,20,169,"1,352",877,98,377,617,374,48,195,611,402,44,165,"1,228",776,92,360,124,101,6,17,398,203,177,380,18,422,335,45,380,42,386,301,45,346,40,36,34,34,2,317,15,293,12,24,3
VA,16,"7,020","1,750",599,"4,671","4,281",877,365,"3,039","1,987",857,159,971,62,3,59,"6,330","1,734",527,"4,069",690,16,72,602,"4,234",19,410,"3,805","2,876",19,271,"2,586",632,0,65,567,62,3,59,"3,570",19,339,"3,212",664,0,71,593,"2,786","1,731",189,866,"1,405",858,94,453,"1,355",857,94,404,"2,760","1,715",188,857,26,16,1,9,883,457,416,873,10,"1,021",681,49,730,291,965,625,49,674,291,56,56,56,0,620,83,535,75,85,8
VI,1,448,14,16,418,51,11,4,36,34,3,5,26,0,0,0,85,14,9,62,363,0,7,356,425,0,14,411,32,0,2,30,30,0,5,25,0,0,0,62,0,7,55,363,0,7,356,23,14,2,7,19,11,2,6,4,3,0,1,23,14,2,7,0,0,0,0,9,8,1,9,0,88,1,0,1,87,88,1,0,1,87,0,0,0,0,32,2,1,0,31,2
VT,2,"1,559",422,197,940,"1,031",279,95,657,359,120,63,176,6,0,6,"1,396",399,158,839,163,23,39,101,823,9,128,686,536,5,58,473,162,3,35,124,6,0,6,704,8,93,603,119,1,35,83,736,413,69,254,495,274,37,184,197,117,28,52,692,391,65,236,44,22,4,18,239,161,60,221,18,283,224,4,228,55,199,155,4,159,40,84,69,69,15,120,8,111,7,9,1
WA,7,"18,442","4,360","1,752","12,330","6,202","1,240",439,"4,523","6,296","2,635",857,"2,804",42,0,42,"12,540","3,875","1,296","7,369","5,902",485,456,"4,961","11,390",189,"1,116","10,085","4,280",52,321,"3,907","1,935",71,399,"1,465",42,0,42,"6,257",123,720,"5,414","5,133",66,396,"4,671","7,052","4,171",636,"2,245","1,922","1,188",118,616,"4,361","2,564",458,"1,339","6,283","3,752",576,"1,955",769,419,60,290,"2,182",589,"1,342","1,931",251,"2,535","1,099",30,"1,129","1,406","2,311",985,30,"1,015","1,296",224,114,114,110,"1,433",109,"1,089",87,344,22
WI,4,"6,055","1,970",624,"3,461","3,111",841,305,"1,965","2,541","1,077",290,"1,174",60,7,53,"5,712","1,918",602,"3,192",343,52,22,269,"2,929",19,325,"2,585","1,772",14,187,"1,571",844,1,117,726,60,7,53,"2,676",15,311,"2,350",253,4,14,235,"3,126","1,951",299,876,"1,339",827,118,394,"1,697","1,076",173,448,"3,036","1,903",291,842,90,48,8,34,"1,007",422,555,977,30,524,426,21,447,77,436,338,21,359,77,88,88,88,0,520,22,496,22,24,0
WV,4,"2,013",298,182,"1,533","1,189",158,101,930,381,85,28,268,13,1,12,"1,583",243,130,"1,210",430,55,52,323,"1,488",2,145,"1,341",928,2,84,842,234,0,23,211,13,1,12,"1,175",2,108,"1,065",313,0,37,276,525,296,37,192,261,156,17,88,147,85,5,57,408,241,22,145,117,55,15,47,173,83,48,131,42,482,300,4,304,178,424,275,4,279,145,58,25,25,33,333,22,303,21,30,1
WY,1,757,182,71,504,268,41,31,196,295,110,17,168,0,0,0,563,151,48,364,194,31,23,140,463,8,51,404,209,6,27,176,118,0,8,110,0,0,0,327,6,35,286,136,2,16,118,294,174,20,100,59,35,4,20,177,110,9,58,236,145,13,78,58,29,7,22,89,18,58,76,13,144,104,0,104,40,105,86,0,86,19,39,18,18,21,116,6,95,3,21,3
Total,414,"576,450","135,701","58,043","382,706","254,327","71,407","23,153","159,767","144,710","47,884","15,638","81,188","2,014",62,"1,952","401,051","119,291","38,853","242,907","175,399","16,410","19,190","139,799","360,189","7,640","38,373","314,176","139,355","2,102","12,662","124,591","67,779","1,263","8,457","58,059","2,014",62,"1,952","209,148","3,365","21,181","184,602","151,041","4,275","17,192","129,574","216,261","128,061","19,670","68,530","114,972","69,305","10,491","35,176","76,931","46,621","7,181","23,129","191,903","115,926","17,672","58,305","24,358","12,135","1,998","10,225","67,613","35,390","24,239","59,629","7,984","99,132","39,207","1,358","40,565","58,567","83,989","29,845","1,358","31,203","52,786","15,143","9,362","9,362","5,781","49,689","4,647","32,119","2,921","17,570","1,726"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
