State,Number of CoCs,"Overall Homeless, 2010","Sheltered ES Homeless, 2010","Sheltered TH Homeless, 2010","Sheltered SH Homeless, 2010","Sheltered Total Homeless, 2010","Unsheltered Homeless, 2010","Overall Homeless Individuals, 2010","Sheltered ES Homeless Individuals, 2010","Sheltered TH Homeless Individuals, 2010","Sheltered SH Homeless Individuals, 2010","Sheltered Total Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Overall Homeless People in Families, 2010","Sheltered ES Homeless People in Families, 2010","Sheltered TH Homeless People in Families, 2010","Sheltered Total Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Overall Homeless Family Households, 2010","Sheltered ES Homeless Family Households, 2010","Sheltered TH Homeless Family Households, 2010","Sheltered Total Homeless Family Households, 2010","Unsheltered Homeless Family Households, 2010","Sheltered SH Chronically Homeless, 2010","Overall Chronically Homeless Individuals, 2010","Sheltered ES Chronically Homeless Individuals, 2010","Sheltered SH Chronically Homeless Individuals, 2010","Sheltered Total Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010","Overall Homeless Veterans, 2010","Sheltered Total Homeless Veterans, 2010","Unsheltered Homeless Veterans, 2010"
FL,28,"57,551","10,242","11,478",97,"21,817","35,734","35,738","6,074","7,060",97,"13,231","22,507","21,813","4,168","4,418","8,586","13,227","8,017","1,487","1,387","2,874","5,143",85,"9,232","3,615",85,"3,700","5,532","7,794","2,818","4,976"
GA,7,"19,836","4,303","4,443",0,"8,746","11,090","14,377","3,146","2,466",0,"5,612","8,765","5,459","1,157","1,977","3,134","2,325","1,812",381,712,"1,093",719,0,"3,635","1,495",0,"1,495","2,140","2,766","1,372","1,394"
GU,1,"1,635",56,126,0,182,"1,453",534,12,25,0,37,497,"1,101",44,101,145,956,172,10,22,32,140,0,28,1,0,1,27,27,5,22
HI,2,"5,834",994,"2,516",25,"3,535","2,299","2,889",462,457,25,944,"1,945","2,945",532,"2,059","2,591",354,764,151,524,675,89,19,801,77,19,96,705,419,176,243
IA,3,"3,014","1,062","1,841",0,"2,903",111,"1,528",690,736,0,"1,426",102,"1,486",372,"1,105","1,477",9,481,123,354,477,4,0,249,182,0,182,67,221,207,14
ID,2,"2,346",796,768,0,"1,564",782,"1,445",532,299,0,831,614,901,264,469,733,168,287,88,154,242,45,0,111,37,0,37,74,239,128,111
IL,21,"14,395","4,981","7,172",55,"12,208","2,187","7,568","3,514","2,198",55,"5,767","1,801","6,827","1,467","4,974","6,441",386,"2,229",511,"1,585","2,096",133,37,"2,130","1,398",37,"1,435",695,"1,133",886,247
IN,3,"6,452","2,707","2,526",0,"5,233","1,219","3,588","1,518","1,218",0,"2,736",852,"2,864","1,189","1,308","2,497",367,913,385,420,805,108,0,775,478,0,478,297,767,633,134
KS,5,"2,024","1,179",649,0,"1,828",196,"1,318",803,363,0,"1,166",152,706,376,286,662,44,212,117,81,198,14,0,191,149,0,149,42,711,660,51
KY,3,"6,623","2,740","2,847",12,"5,599","1,024","4,125","1,878","1,371",12,"3,261",864,"2,498",862,"1,476","2,338",160,805,268,488,756,49,4,695,400,4,404,291,619,534,85
LA,9,"12,482","1,617","2,479",0,"4,096","8,386","10,101","1,016","1,374",0,"2,390","7,711","2,381",601,"1,105","1,706",675,763,187,367,554,209,0,"4,815",226,0,226,"4,589","2,015",502,"1,513"
MA,20,"16,646","11,451","4,109",35,"15,595","1,051","6,403","3,153","2,295",35,"5,483",920,"10,243","8,298","1,814","10,112",131,"3,526","2,763",716,"3,479",47,17,"2,007","1,485",17,"1,502",505,"1,597","1,449",148
MD,16,"10,845","3,511","2,947",57,"6,515","4,330","5,999","2,171","1,674",57,"3,902","2,097","4,846","1,340","1,273","2,613","2,233","1,603",445,419,864,739,15,"2,179","1,216",15,"1,231",948,910,646,264
ME,3,"2,379",854,"1,497",0,"2,351",28,"1,061",548,485,0,"1,033",28,"1,318",306,"1,012","1,318",0,447,105,342,447,0,0,226,221,0,221,5,108,105,3
MI,21,"13,058","5,186","5,001",32,"10,219","2,839","7,365","3,334","2,005",32,"5,371","1,994","5,693","1,852","2,996","4,848",845,"1,880",632,970,"1,602",278,26,"1,824","1,283",26,"1,309",515,964,785,179
MN,11,"7,869","3,360","3,360",10,"6,730","1,139","3,605","2,000",924,10,"2,934",671,"4,264","1,360","2,436","3,796",468,"1,409",441,803,"1,244",165,10,"1,490","1,139",10,"1,149",341,644,553,91
MO,8,"8,122","3,363","2,930",43,"6,336","1,786","4,427","1,909","1,338",43,"3,290","1,137","3,695","1,454","1,592","3,046",649,"1,196",472,522,994,202,33,"1,287",944,33,977,310,759,629,130
MP,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
MS,3,"2,743",578,603,0,"1,181","1,562","1,924",302,359,0,661,"1,263",819,276,244,520,299,264,83,78,161,103,0,357,130,0,130,227,339,215,124
MT,1,"1,615",674,494,0,"1,168",447,890,370,192,0,562,328,725,304,302,606,119,238,98,103,201,37,0,145,96,0,96,49,262,156,106
NC,12,"12,191","4,979","4,194",0,"9,173","3,018","8,361","3,530","2,362",0,"5,892","2,469","3,830","1,449","1,832","3,281",549,"1,293",497,611,"1,108",185,0,"1,479","1,077",0,"1,077",402,"1,084",907,177
ND,1,799,461,307,0,768,31,539,306,207,0,513,26,260,155,100,255,5,82,47,33,80,2,0,64,61,0,61,3,119,114,5
