State,Number of CoCs,"Overall Homeless, 2012","Sheltered ES Homeless, 2012","Sheltered TH Homeless, 2012","Sheltered SH Homeless, 2012","Sheltered Total Homeless, 2012","Unsheltered Homeless, 2012","Overall Homeless Individuals, 2012","Overall Homeless Individuals - Under 18, 2012","Sheltered ES Homeless Individuals, 2012","Sheltered ES Homeless Individuals - Under 18, 2012","Sheltered TH Homeless Individuals, 2012","Sheltered TH Homeless Individuals - Under 18, 2012","Sheltered SH Homeless Individuals, 2012","Sheltered Total Homeless Individuals, 2012","Sheltered Total Homeless Individuals - Under 18, 2012","Unsheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals - Under 18, 2012","Overall Homeless People in Families, 2012","Sheltered ES Homeless People in Families, 2012","Sheltered TH Homeless People in Families, 2012","Sheltered Total Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Overall Homeless Family Households, 2012","Sheltered ES Homeless Family Households, 2012","Sheltered TH Homeless Family Households, 2012","Sheltered Total Homeless Family Households, 2012","Unsheltered Homeless Family Households, 2012","Overall Chronically Homeless, 2012","Sheltered ES Chronically Homeless, 2012","Sheltered SH Chronically Homeless, 2012","Sheltered Total Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Overall Chronically Homeless Individuals, 2012","Sheltered ES Chronically Homeless Individuals, 2012","Sheltered SH Chronically Homeless Individuals, 2012","Sheltered Total Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Overall Chronically Homeless People in Families, 2012","Sheltered ES Chronically Homeless People in Families, 2012","Sheltered Total Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Overall Homeless Veterans, 2012","Sheltered Total Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
FL,28,"55,170","9,388","10,289",155,"19,832","35,338","36,771","1,013","6,435",237,"6,211",226,155,"12,801",463,"23,970",550,"18,399","2,953","4,078","7,031","11,368","6,333",977,"1,361","2,338","3,995","10,054","2,277",129,"2,406","7,648","8,682","2,003",129,"2,132","6,550","1,372",274,274,"1,098","5,331","2,201","3,130"
GA,7,"20,516","4,291","4,007",22,"8,320","12,196","15,363",119,"2,978",12,"1,816",15,22,"4,816",27,"10,547",92,"5,153","1,313","2,191","3,504","1,649","1,779",498,757,"1,255",524,"3,843","1,420",6,"1,426","2,417","3,016","1,024",6,"1,030","1,986",827,396,396,431,"2,297","1,094","1,203"
GU,1,"1,301",66,121,0,187,"1,114",255,6,26,5,39,1,0,65,6,190,0,"1,046",40,82,122,924,165,10,19,29,136,226,0,0,0,226,22,0,0,0,22,204,0,0,204,31,6,25
HI,2,"6,246","1,141","2,560",25,"3,726","2,520","3,130",9,513,2,537,0,25,"1,075",2,"2,055",7,"3,116",628,"2,023","2,651",465,792,183,498,681,111,949,129,17,146,803,910,111,17,128,782,39,18,18,21,507,230,277
IA,3,"2,928","1,164","1,616",0,"2,780",148,"1,446",11,756,0,546,11,0,"1,302",11,144,0,"1,482",408,"1,070","1,478",4,466,132,333,465,1,307,218,0,218,89,270,181,0,181,89,37,37,37,0,217,205,12
ID,2,"1,968",770,712,0,"1,482",486,"1,175",13,517,7,270,0,0,787,7,388,6,793,253,442,695,98,246,74,142,216,30,252,111,0,111,141,200,90,0,90,110,52,21,21,31,260,184,76
IL,20,"14,144","4,828","6,229",92,"11,149","2,995","8,269",168,"3,617",26,"2,099",8,92,"5,808",34,"2,461",134,"5,875","1,211","4,130","5,341",534,"1,905",413,"1,323","1,736",169,"2,206","1,080",64,"1,144","1,062","2,079","1,022",64,"1,086",993,127,58,58,69,"1,147",813,334
IN,3,"6,259","2,934","2,411",25,"5,370",889,"3,316",67,"1,555",27,"1,081",24,25,"2,661",51,655,16,"2,943","1,379","1,330","2,709",234,955,421,443,864,91,545,344,25,369,176,461,260,25,285,176,84,84,84,0,687,547,140
KS,5,"2,684","1,317","1,016",17,"2,350",334,"1,526",14,875,2,373,11,17,"1,265",13,261,1,"1,158",442,643,"1,085",73,346,137,188,325,21,371,262,13,275,96,307,205,13,218,89,64,57,57,7,373,329,44
KY,3,"5,230","2,132","2,177",10,"4,319",911,"3,282",65,"1,555",63,990,0,10,"2,555",63,727,2,"1,948",577,"1,187","1,764",184,667,203,410,613,54,629,422,1,423,206,497,346,1,347,150,132,76,76,56,440,369,71
LA,9,"7,772","1,375","2,397",35,"3,807","3,965","6,322",51,"1,132",21,"1,271",18,35,"2,438",39,"3,884",12,"1,450",243,"1,126","1,369",81,474,83,360,443,31,"2,893",335,17,352,"2,541","2,743",263,17,280,"2,463",150,72,72,78,899,450,449
MA,19,"17,501","12,652","4,074",53,"16,779",722,"6,289",62,"3,119",26,"2,405",26,53,"5,577",52,712,10,"11,212","9,533","1,669","11,202",10,"3,887","3,267",616,"3,883",4,"2,055","1,702",21,"1,723",332,"1,500","1,147",21,"1,168",332,555,555,555,0,"1,181","1,126",55
MD,16,"9,454","3,399","2,451",92,"5,942","3,512","5,727",1,"2,117",0,"1,236",1,92,"3,445",1,"2,282",0,"3,727","1,282","1,215","2,497","1,230","1,300",424,388,812,488,"1,407",518,41,559,848,"1,259",448,41,489,770,148,70,70,78,617,513,104
ME,2,"2,393",975,"1,373",12,"2,360",33,"1,287",34,688,11,554,21,12,"1,254",32,33,2,"1,106",287,819,"1,106",0,376,99,277,376,0,233,220,11,231,2,222,209,11,220,2,11,11,11,0,116,116,0
MI,21,"12,592","5,221","5,015",34,"10,270","2,322","7,397",247,"3,405",95,"2,048",112,34,"5,487",207,"1,910",40,"5,195","1,816","2,967","4,783",412,"1,703",628,937,"1,565",138,"1,370",830,13,843,527,"1,174",677,13,690,484,196,153,153,43,"1,017",835,182
MN,10,"7,744","3,684","3,060",10,"6,754",990,"3,540",134,"1,878",52,905,75,10,"2,793",127,747,7,"4,204","1,806","2,155","3,961",243,"1,311",536,704,"1,240",71,"1,718","1,336",10,"1,346",372,"1,004",690,10,700,304,714,646,646,68,309,243,66
MO,8,"10,237","4,683","3,157",53,"7,893","2,344","4,855",95,"1,896",51,"1,582",40,53,"3,531",91,"1,324",4,"5,382","2,787","1,575","4,362","1,020","1,745",956,505,"1,461",284,"1,632",980,48,"1,028",604,906,561,48,609,297,726,419,419,307,899,714,185
MP,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
MS,3,"2,413",486,556,0,"1,042","1,371","1,794",42,374,14,252,28,0,626,42,"1,168",0,619,112,304,416,203,221,38,120,158,63,501,67,0,67,434,450,55,0,55,395,51,12,12,39,244,71,173
MT,1,"1,833",716,437,0,"1,153",680,"1,166",18,443,7,210,11,0,653,18,513,0,667,273,227,500,167,192,89,80,169,23,388,213,0,213,175,304,161,0,161,143,84,52,52,32,323,147,176
NC,12,"13,524","4,641","4,155",13,"8,809","4,715","8,480",119,"3,486",45,"1,962",13,13,"5,461",58,"3,019",61,"5,044","1,155","2,193","3,348","1,696","1,633",388,696,"1,084",549,"1,621",702,0,702,919,"1,465",641,0,641,824,156,61,61,95,"1,413","1,091",322
ND,1,688,474,161,0,635,53,485,1,344,0,101,1,0,445,1,40,0,203,130,60,190,13,70,42,22,64,6,86,78,0,78,8,81,75,0,75,6,5,3,3,2,160,144,16
NE,3,"3,789","1,581","1,376",0,"2,957",832,"2,215",117,"1,183",62,678,16,0,"1,861",78,354,39,"1,574",398,698,"1,096",478,514,133,230,363,151,501,333,0,333,168,396,288,0,288,108,105,45,45,60,249,213,36
NH,3,"1,496",769,555,5,"1,329",167,832,6,478,0,200,0,5,683,0,149,6,664,291,355,646,18,240,98,135,233,7,274,175,5,180,94,237,146,5,151,86,37,29,29,8,127,116,11
NJ,19,"13,025","8,130","3,280",19,"11,429","1,596","6,603",34,"4,240",19,"1,128",14,19,"5,387",33,"1,216",1,"6,422","3,890","2,152","6,042",380,"2,247","1,388",735,"2,123",124,"1,026",717,0,717,309,881,609,0,609,272,145,108,108,37,592,465,127
NM,2,"3,245","1,380","1,017",0,"2,397",848,"2,136",79,"1,059",30,412,13,0,"1,471",43,665,36,"1,109",321,605,926,183,348,95,194,289,59,"1,072",613,0,613,459,973,566,0,566,407,99,47,47,52,345,202,143
NV,3,"8,497","2,503","1,442",25,"3,970","4,527","7,493",376,"1,946",13,"1,028",25,25,"2,999",38,"4,494",338,"1,004",557,414,971,33,341,176,152,328,13,"1,725",583,16,599,"1,126","1,603",464,16,480,"1,123",122,119,119,3,"1,229",691,538
NY,31,"69,566","53,018","12,302",162,"65,482","4,084","30,133",198,"18,481",100,"7,454",92,162,"26,097",192,"4,036",6,"39,433","34,537","4,848","39,385",48,"12,170","10,472","1,682","12,154",16,"4,897","2,301",160,"2,461","2,436","4,324","1,742",160,"1,902","2,422",573,559,559,14,"4,961","4,370",591
OH,9,"13,977","6,277","5,874",95,"12,246","1,731","7,855",84,"4,038",62,"2,299",12,95,"6,432",74,"1,423",10,"6,122","2,239","3,575","5,814",308,"1,943",705,"1,139","1,844",99,"1,982","1,294",73,"1,367",615,"1,788","1,123",73,"1,196",592,194,171,171,23,"1,244","1,034",210
OK,8,"5,032","2,098",887,58,"3,043","1,989","3,454",433,"1,491",95,524,16,58,"2,073",111,"1,381",322,"1,578",607,363,970,608,519,216,119,335,184,569,264,23,287,282,481,214,23,237,244,88,50,50,38,404,299,105
OR,7,"15,828","2,600","3,926",19,"6,545","9,283","9,788",531,"1,794",66,"1,679",48,19,"3,492",114,"6,296",417,"6,040",806,"2,247","3,053","2,987","2,110",273,873,"1,146",964,"3,302",739,15,754,"2,548","2,782",639,15,654,"2,128",520,100,100,420,"1,356",558,798
PA,18,"14,736","6,946","6,512",202,"13,660","1,076","7,295",57,"3,950",49,"2,164",7,202,"6,316",56,979,1,"7,441","2,996","4,348","7,344",97,"2,476",997,"1,444","2,441",35,"2,106",938,183,"1,121",985,"1,564",788,183,971,593,542,150,150,392,"1,456","1,321",135
PR,2,"3,212",357,926,63,"1,346","1,866","2,494",1,286,0,595,0,63,944,0,"1,550",1,718,71,331,402,316,297,29,118,147,150,"3,251",215,36,251,"3,000","1,597",163,36,199,"1,398","1,654",52,52,"1,602",116,29,87
RI,1,"1,277",805,426,18,"1,249",28,788,4,578,4,164,0,18,760,4,28,0,489,227,262,489,0,182,91,91,182,0,154,140,14,154,0,148,134,14,148,0,6,6,6,0,96,96,0
SC,4,"4,915","1,460","1,304",12,"2,776","2,139","3,327",13,"1,114",0,663,3,12,"1,789",3,"1,538",10,"1,588",346,641,987,601,551,137,234,371,180,528,102,12,114,414,388,101,12,113,275,140,1,1,139,543,320,223
SD,1,859,514,281,0,795,64,512,27,310,27,155,0,0,465,27,47,0,347,204,126,330,17,119,71,44,115,4,138,125,0,125,13,113,100,0,100,13,25,25,25,0,124,114,10
TN,10,"9,426","2,863","2,895",20,"5,778","3,648","6,905",58,"2,204",24,"1,943",0,20,"4,167",24,"2,738",34,"2,521",659,952,"1,611",910,833,223,310,533,300,"2,266","1,108",18,"1,126","1,140","2,114","1,035",18,"1,053","1,061",152,73,73,79,"1,285",973,312
TX,14,"34,052","10,055","7,302",144,"17,501","16,551","20,743","1,121","5,749",227,"3,137",122,144,"9,030",349,"11,713",772,"13,309","4,306","4,165","8,471","4,838","4,511","1,531","1,359","2,890","1,621","6,650","2,056",124,"2,180","4,470","6,115","1,736",124,"1,860","4,255",535,320,320,215,"4,364","1,884","2,480"
UT,3,"3,527","1,725","1,280",47,"3,052",475,"2,049",21,"1,091",19,503,1,47,"1,641",20,408,1,"1,478",634,777,"1,411",67,445,193,233,426,19,443,253,46,299,144,331,194,46,240,91,112,59,59,53,330,297,33
VA,19,"8,424","4,170","2,774",51,"6,995","1,429","5,084",7,"2,811",6,937,1,51,"3,799",7,"1,285",0,"3,340","1,359","1,837","3,196",144,"1,094",444,602,"1,046",48,"1,646","1,011",31,"1,042",604,"1,531",938,31,969,562,115,73,73,42,881,727,154
VI,1,484,32,74,0,106,378,438,0,20,0,40,0,0,60,0,378,0,46,12,34,46,0,16,6,10,16,0,193,2,0,2,191,193,2,0,2,191,0,0,0,0,33,1,32
VT,2,"1,160",562,369,6,937,223,653,26,278,15,199,3,6,483,18,170,8,507,284,170,454,53,172,89,64,153,19,228,147,6,153,75,190,122,6,128,62,38,25,25,13,109,93,16
WA,7,"20,504","6,053","8,919",55,"15,027","5,477","11,273",220,"4,163",91,"2,226",62,55,"6,444",153,"4,829",67,"9,231","1,890","6,693","8,583",648,"2,871",587,"2,089","2,676",195,"2,213","1,187",40,"1,227",986,"2,041","1,098",40,"1,138",903,172,89,89,83,"1,475","1,097",378
WI,4,"6,027","2,868","2,517",61,"5,446",581,"3,033",24,"1,681",15,877,0,61,"2,619",15,414,9,"2,994","1,187","1,640","2,827",167,961,357,545,902,59,487,339,22,361,126,377,248,22,270,107,110,91,91,19,539,525,14
WV,4,"2,410","1,014",505,14,"1,533",877,"1,742",32,727,6,292,0,14,"1,033",6,709,26,668,287,213,500,168,243,97,68,165,78,410,206,9,215,195,346,163,9,172,174,64,43,43,21,268,219,49
WY,1,"1,813",231,244,0,475,"1,338","1,302",11,172,0,120,0,0,292,0,"1,010",11,511,59,124,183,328,171,25,32,57,114,452,99,0,99,353,375,97,0,97,278,77,2,2,75,311,128,183
Total,425,"621,553","224,599","163,565","1,991","390,155","231,398","382,156","7,775","123,381","1,973","73,787","1,249","1,991","199,159","3,222","182,997","4,553","239,397","101,218","89,778","190,996","48,401","77,155","32,605","29,191","61,796","15,359","112,037","38,092","1,468","39,560","72,477","96,268","31,179","1,468","32,647","63,621","15,769","6,913","6,913","8,856","60,579","35,143","25,436"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
