Year,State,Overall Homeless,Unsheltered Homeless,Overall Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Overall Homeless Unaccompanied Youth (Under 25),Sheltered Total Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth (Under 25)
2020,PA,"13,375","1,857","8,585","1,764","4,790","4,697",93,"1,225",464,83,81,2,977,920,57,716,544,172
2018,PA,"13,512","1,744","8,163","1,714","5,349","5,319",30,785,533,90,86,4,982,910,72,684,541,143
2019,IA,"2,315",188,"1,574",181,741,734,7,239,62,39,39,0,149,137,12,146,130,16
2018,UT,"2,876",420,"1,904",418,972,970,2,211,87,8,8,0,239,222,17,191,157,34
2019,NE,"2,365",110,"1,715",107,650,647,3,381,41,32,32,0,175,164,11,151,138,13
2020,IA,"2,647",333,"1,852",329,795,791,4,257,78,33,33,0,154,136,18,141,114,27
2018,MA,"20,068",985,"6,811",983,"13,257","13,255",2,"1,054",319,749,749,0,985,934,51,465,373,92
2017,NY,"89,503","4,555","37,390","4,500","52,113","52,058",55,"3,110","1,977","1,491","1,488",3,"1,244","1,186",58,"2,829","2,535",294
2017,NM,"2,482",796,"1,865",718,617,539,78,385,327,102,78,24,248,135,113,181,138,43
2017,NJ,"8,536","1,414","5,433","1,395","3,103","3,084",19,542,413,114,110,4,583,494,89,492,432,60
2020,TX,"27,229","13,212","21,115","12,706","6,114","5,608",506,"1,157","2,705",171,85,86,"1,948","1,117",831,"1,408",786,622
2017,KY,"4,025",727,"3,032",646,993,912,81,252,131,22,15,7,489,445,44,253,194,59
2020,WY,612,123,427,117,185,179,6,24,57,0,0,0,51,45,6,91,79,12
2020,TN,"7,256","2,784","5,673","2,313","1,583","1,112",471,421,671,61,24,37,570,424,146,353,240,113
2020,NY,"91,271","4,557","43,283","4,551","47,988","47,982",6,"4,832","1,595","1,088","1,088",0,"1,251","1,214",37,"3,072","2,769",303
2017,NE,"2,501",120,"1,698",120,803,803,0,285,76,14,14,0,174,172,2,164,151,13
2018,IA,"2,749",241,"1,711",220,"1,038","1,017",21,151,64,55,55,0,196,177,19,209,187,22
2018,DE,"1,082",93,708,93,374,374,0,143,19,27,27,0,70,67,3,53,45,8
2017,TN,"8,309","2,765","6,137","2,254","2,172","1,661",511,482,813,189,89,100,757,615,142,457,276,181
